#   Z    A  M_ej/M_sun
   48  112   1.374e-09
   48  113   1.014e-10
   48  114   4.828e-10
   48  115   8.011e-12
   48  116   5.817e-10
   48  117   1.212e-10
   48  118   1.337e-09
   48  119   1.198e-10
   48  120   1.643e-10
   48  121   1.934e-12
   48  122   4.964e-15
   49  100   1.968e-16
   49  101   3.443e-13
   49  102   2.762e-12
   49  103   6.001e-11
   49  104   1.779e-10
   49  105   1.438e-09
   49  106   1.303e-09
   49  107   4.755e-09
   49  108   3.210e-09
   49  109   4.871e-09
   49  110   1.751e-09
   49  111   4.196e-09
   49  112   7.856e-10
   49  113   1.882e-09
   49  114   3.855e-10
   49  115   1.434e-09
   49  116   1.051e-11
   49  117   7.123e-09
   49  118   2.218e-12
   49  119   6.289e-09
   49  120   1.061e-11
   49  121   3.929e-10
   49  122   1.993e-15
   49  123   6.923e-14
   49  124   1.150e-17
   50  102   7.205e-18
   50  103   1.974e-15
   50  104   5.687e-12
   50  105   7.353e-12
   50  106   4.687e-10
   50  107   7.319e-10
   50  108   7.540e-09
   50  109   1.838e-09
   50  110   9.496e-09
   50  111   2.491e-09
   50  112   1.343e-08
   50  113   2.516e-09
   50  114   2.251e-08
   50  115   3.144e-09
   50  116   3.311e-09
   50  117   5.689e-09
   50  118   1.197e-08
   50  119   1.059e-08
   50  120   2.154e-08
   50  121   5.172e-09
   50  122   2.437e-09
   50  123   5.618e-10
   50  124   3.640e-10
   50  125   1.935e-10
   50  126   7.330e-09
   50  127   5.820e-10
   50  128   1.636e-09
   50  129   2.868e-10
   50  130   8.571e-10
   50  131   1.883e-10
   50  132   6.287e-10
   51  108   4.279e-17
   51  109   2.950e-13
   51  110   1.377e-12
   51  111   2.096e-10
   51  112   9.177e-11
   51  113   3.717e-09
   51  114   1.188e-09
   51  115   6.568e-08
   51  116   2.413e-09
   51  117   2.602e-09
   51  118   5.143e-10
   51  119   1.391e-08
   51  120   3.342e-10
   51  121   1.677e-08
   51  122   9.074e-10
   51  123   2.191e-09
   51  124   5.592e-11
   51  125   1.929e-08
   51  126   3.022e-10
   51  127   8.017e-09
   51  128   6.390e-11
   51  129   1.744e-09
   51  130   2.920e-10
   51  131   5.775e-09
   51  132   1.797e-09
   51  133   1.455e-09
   52  118   1.044e-09
   52  119   8.908e-10
   52  120   3.339e-09
   52  121   4.040e-09
   52  122   2.879e-09
   52  123   8.589e-10
   52  124   8.702e-09
   52  125   6.133e-09
   52  126   9.670e-09
   52  127   1.756e-09
   52  128   1.013e-08
   52  129   4.553e-11
   52  130   4.285e-09
   52  131   1.039e-09
   52  132   3.267e-09
   52  133   8.722e-10
   52  134   1.782e-09
   52  135   2.098e-12
   52  136   1.834e-12
   53  119   7.183e-10
   53  120   2.453e-10
   53  121   1.222e-09
   53  122   2.606e-10
   53  123   1.198e-09
   53  124   1.702e-10
   53  125   5.761e-09
   53  126   2.347e-10
   53  127   8.228e-09
   53  128   7.763e-10
   53  129   3.083e-09
   53  130   1.495e-10
   53  131   5.650e-09
   53  132   1.769e-10
   53  133   4.172e-09
   53  134   1.272e-10
   53  135   2.351e-09
   53  136   1.750e-11
   53  137   3.815e-12
   53  138   3.348e-14
   54  122   2.859e-09
   54  123   3.403e-10
   54  124   9.534e-09
   54  125   1.905e-09
   54  126   6.653e-08
   54  127   3.932e-09
   54  128   1.160e-08
   54  129   3.072e-10
   54  130   1.857e-09
   54  131   9.190e-10
   54  132   2.130e-09
   54  133   5.897e-10
   54  134   6.595e-09
   54  135   9.362e-11
   54  136   4.135e-09
   54  137   1.876e-11
   54  138   9.041e-11
   54  139   8.680e-12
   54  140   4.569e-13
   55  123   4.386e-10
   55  124   2.151e-11
   55  125   6.966e-09
   55  126   8.448e-10
   55  127   7.845e-08
   55  128   2.727e-09
   55  129   2.639e-08
   55  130   3.357e-10
   55  131   8.987e-10
   55  132   1.028e-10
   55  133   4.164e-09
   55  134   7.195e-10
   55  135   7.708e-09
   55  136   2.907e-10
   55  137   2.311e-08
   55  138   6.353e-12
   55  139   2.624e-11
   55  140   1.457e-11
   55  141   6.489e-12
   56  128   1.032e-07
   56  129   7.812e-09
   56  130   1.325e-07
   56  131   4.497e-09
   56  132   3.881e-08
   56  133   2.369e-09
   56  134   4.095e-09
   56  135   9.842e-10
   56  136   1.130e-08
   56  137   1.355e-09
   56  138   3.692e-08
   56  139   1.943e-12
   56  140   4.895e-11
   56  141   6.184e-11
   56  142   4.229e-11
   56  143   4.848e-12
   56  144   6.797e-13
   56  145   2.253e-16
   57  129   1.939e-08
   57  130   1.940e-09
   57  131   8.544e-08
   57  132   4.793e-09
   57  133   6.611e-08
   57  134   1.459e-09
   57  135   1.145e-08
   57  136   1.918e-10
   57  137   5.805e-09
   57  138   4.174e-09
   57  139   1.922e-08
   57  140   3.543e-13
   57  141   9.219e-11
   57  142   4.682e-12
   57  143   3.693e-10
   57  144   4.591e-11
   57  145   1.149e-11
   57  146   4.932e-14
   57  147   3.299e-16
   58  134   6.702e-08
   58  135   7.844e-09
   58  136   1.615e-07
   58  137   3.036e-09
   58  138   1.087e-08
   58  139   1.273e-09
   58  140   5.381e-09
   58  141   9.337e-13
   58  142   1.800e-11
   58  143   2.448e-11
   58  144   1.629e-10
   58  145   1.057e-10
   58  146   3.520e-10
   58  147   1.319e-10
   58  148   1.050e-10
   58  149   1.829e-14
   58  150   2.109e-15
   59  135   1.255e-08
   59  136   1.971e-09
   59  137   9.320e-08
   59  138   1.754e-09
   59  139   1.046e-08
   59  140   2.878e-10
   59  141   3.963e-09
   59  142   2.661e-12
   59  143   3.068e-12
   59  144   2.926e-13
   59  145   5.581e-11
   59  146   2.645e-11
   59  147   2.748e-10
   59  148   1.686e-10
   59  149   6.054e-10
   59  150   3.821e-13
   59  151   3.827e-11
   59  152   5.268e-16
   59  153   6.559e-15
   60  140   3.712e-08
   60  141   4.452e-09
   60  142   3.446e-08
   60  143   5.106e-12
   60  144   6.821e-12
   60  145   6.404e-13
   60  146   3.821e-12
   60  147   1.432e-11
   60  148   5.766e-11
   60  149   3.484e-10
   60  150   1.359e-09
   60  151   9.729e-10
   60  152   1.361e-09
   60  153   2.568e-10
   60  154   9.906e-11
   60  155   2.430e-12
   60  156   1.200e-13
   60  157   6.946e-17
   61  143   1.791e-08
   61  144   2.105e-11
   61  145   7.324e-11
   61  146   1.237e-13
   61  147   6.431e-11
   61  148   6.511e-14
   61  149   2.082e-12
   61  150   3.034e-15
   61  151   1.170e-10
   61  152   1.173e-10
   61  153   1.253e-09
   61  154   6.199e-10
   61  155   4.664e-10
   61  156   6.050e-11
   61  157   1.229e-11
   61  158   5.581e-14
   62  142   4.449e-08
   62  143   1.480e-09
   62  144   8.255e-09
   62  145   7.772e-12
   62  146   1.075e-10
   62  147   7.673e-12
   62  148   2.622e-11
   62  149   1.211e-13
   62  150   2.987e-12
   62  151   4.235e-13
   62  152   2.131e-11
   62  153   1.760e-10
   62  154   1.869e-10
   62  155   1.216e-09
   62  156   3.444e-09
   62  157   1.519e-09
   62  158   2.419e-09
   62  159   2.197e-11
   62  160   5.761e-12
   62  161   2.144e-14
   63  143   2.475e-09
   63  144   7.686e-14
   63  145   1.402e-09
   63  146   1.156e-11
   63  147   8.938e-12
   63  148   4.517e-13
   63  149   1.126e-10
   63  150   1.068e-12
   63  151   2.029e-11
   63  152   4.314e-13
   63  153   1.123e-11
   63  154   2.223e-13
   63  155   4.164e-11
   63  156   4.896e-12
   63  157   6.207e-10
   63  158   4.737e-10
   63  159   3.073e-09
   63  160   4.707e-10
